id1,id2,wight
1946,686,172
5000,2712,152
1946,4819,120
4819,5299,65
864,3271,59
1946,1108,43
1946,5694,36
2585,2972,35
1946,694,31
1946,695,31
1946,1875,31
1946,1969,30
1946,4197,30
1946,5373,29
4047,5858,29
991,3271,28
3346,3354,28
2503,3235,27
3075,3235,27
2866,3235,25
1428,244,23
1428,245,23
4862,3235,23
1946,2811,22
1946,2901,21
2730,5294,21
2730,5295,21
3346,3367,21
354,3129,20
1329,897,20
3733,3235,20
3733,3271,20
4047,5662,20
4819,2878,20
994,4476,19
994,5214,18
2712,1005,18
3840,1097,18
4368,3235,18
19,5533,17
432,3271,17
2379,3235,17
432,1155,16
244,5756,15
1501,4550,15
1946,1097,15
1946,1934,15
1946,5146,15
3940,1120,15
3955,5276,15
19,5667,14
1097,414,14
1946,572,14
2210,407,14
2752,1383,14
2903,719,14
4068,1011,14
1312,3840,13
1428,4993,13
1946,4182,13
2223,1946,13
2379,1304,13
2752,3852,13
3577,820,13
4047,200,13
4047,2903,13
4047,5443,13
4325,4819,13
5214,5540,13
5242,2413,13
1501,1383,12
1946,1971,12
2235,2599,12
2235,3690,12
2974,3235,12
3588,1771,12
4993,2975,12
5305,3577,12
686,3229,11
686,4902,11
1501,2610,11
1946,604,11
1946,1687,11
1946,4239,11
3840,1059,11
5242,415,11
5543,3235,11
686,1480,10
686,4242,10
1293,3235,10
1428,5747,10
1428,1491,10
1428,2958,10
1428,5029,10
1428,2460,10
1439,3129,10
1966,4799,10
2189,3235,10
3657,3235,10
4047,2977,10
4168,3129,10
4652,5379,10
5242,640,10
244,1011,9
686,2330,9
686,3315,9
864,4388,9
973,4020,9
1312,1343,9
1312,5029,9
1329,532,9
1329,991,9
1428,4485,9
1428,5893,9
1428,1686,9
1745,3235,9
1946,119,9
1946,2125,9
2681,5675,9
2681,5676,9
2903,1795,9
3346,2933,9
5242,2368,9
432,1823,8
1289,3092,8
1428,2028,8
1428,3505,8
1626,3602,8
1946,932,8
1946,1662,8
1946,2046,8
1946,2746,8
1946,5544,8
2235,3340,8
2752,3499,8
3346,4979,8
3840,4743,8
4068,3010,8
4325,3129,8
4769,3235,8
4819,2356,8
19,82,7
19,4348,7
30,4712,7
244,5016,7
686,1158,7
686,3225,7
820,1097,7
1626,4668,7
1800,3235,7
1946,2928,7
1966,5004,7
2154,2833,7
2174,1120,7
2224,2225,7
2730,556,7
2730,3830,7
2730,4332,7
2730,5299,7
2903,2365,7
2903,3271,7
3257,3984,7
3346,613,7
3346,1869,7
3358,3235,7
3797,3239,7
4047,1626,7
